sexo;edad;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;lugar;bien;categoria_bien;grupo_bien;color;Tapabocas;Capuchas;Gorras;Actitud_nerviosa;llena_vacia;dia_noche;Robo
Hombre;25;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Balcones de Vista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Gris;si;si;si;si;llena;dia;si
Hombre;30;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Verbenal;Estación del Transmilenio;Celular;Tecnología;Mercancía;Azul;si;no;si;si;vacia;noche;si
Hombre;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;no;no;vacia;dia;si
Hombre;22;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;si;no;vacia;dia;si
Mujer;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Crist�bal Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;no;no;vacia;noche;si
Mujer;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torcoroma;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;no;si;vacia;noche;si
Hombre;63;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Tober�n;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;no;si;si;vacia;dia;si
Hombre;44;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Babilonia;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;si;si;no;llena;dia;si
Hombre;25;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villas del Mediterr�neo;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;si;no;no;si;llena;dia;si
Mujer;-1;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Cedro Salazar;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;no;no;no;si;vacia;noche;si
Hombre;23;Transmilenio;Hurto a persona;Raponazo;Sin dato;No;La Sonora;Bus de servicio público;Celular;Tecnología;Mercancía;Sin dato;no;no;no;si;llena;dia;si
Hombre;42;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;si;si;vacia;noche;si
Hombre;50;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balcones de Vista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Café;no;no;no;si;vacia;noche;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balmoral�;Estación del Transmilenio;Sin dato documentos;Documentos;Mercancía;Sin dato;no;si;si;no;vacia;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Buenavista;Estación del Transmilenio;Licencia;Documentos;Mercancía;Sin dato;no;si;no;no;llena;noche;si
Hombre;50;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Codito;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;no;si;si;llena;noche;si
Mujer;47;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Refugio de San Antonio;Estación del Transmilenio;Tarjeta de identidad;Documentos;Mercancía;Sin dato;si;si;si;si;vacia;dia;si
Mujer;47;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Estrellita;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;vacia;noche;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;no;no;vacia;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Llanurita;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;no;no;no;vacia;noche;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Antonio Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;no;llena;dia;si
Mujer;47;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Naranjos;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;no;si;si;llena;dia;si
Mujer;47;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Carne;Alimento;Mercancía;Sin dato;si;no;no;no;vacia;noche;si
Mujer;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Redil;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;si;no;vacia;dia;si
Hombre;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Crist�bal Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;no;no;llena;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torcoroma;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;si;si;si;llena;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Babilonia;Estación del Transmilenio;Sin dato documentos;Documentos;Mercancía;Sin dato;no;si;no;si;vacia;dia;si
Hombre;22;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Estrella del Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;si;si;si;si;llena;dia;si
Hombre;29;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa M�nica;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;no;no;no;vacia;noche;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villas del Mediterr�neo;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;no;no;si;vacia;noche;si
Hombre;29;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Bosque de Pinos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;no;no;vacia;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;no;llena;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torca;Estación del Transmilenio;Carne;Alimento;Mercancía;Sin dato;si;no;si;no;vacia;noche;si
Hombre;38;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balmoral�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;no;si;vacia;noche;si
Hombre;20;Transmilenio;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Buenavista;Bus de servicio público;Celular;Tecnología;Mercancía;Azul;no;no;no;si;vacia;noche;si
Mujer;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Verbenal;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;no;no;no;vacia;noche;si
Mujer;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;no;si;vacia;noche;si
Mujer;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Llanurita;Estación del Transmilenio;Sin dato documentos;Documentos;Mercancía;Sin dato;si;no;no;si;vacia;dia;si
Hombre;22;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;no;no;si;vacia;noche;si
Mujer;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Redil;Estación del Transmilenio;Licencia;Documentos;Mercancía;Sin dato;no;si;no;no;llena;noche;si
Hombre;37;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Antonio Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Azul;no;si;no;no;llena;noche;si
Mujer;52;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Tober�n;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;si;no;no;llena;dia;si
Hombre;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Sonora;Estación del Transmilenio;Libreta militar;Documentos;Mercancía;Sin dato;si;si;no;no;llena;noche;si
Hombre;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Canaima;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;no;no;no;llena;noche;si
Mujer;25;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balmoral�;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;si;no;no;llena;dia;si
Mujer;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Verbenal;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;si;no;no;llena;dia;si
Hombre;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;no;si;llena;dia;si
Hombre;39;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torcoroma;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;no;si;no;vacia;noche;si
Hombre;33;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa M�nica;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;si;si;vacia;dia;si
Mujer;43;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Canaima;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;si;si;si;llena;noche;si
Mujer;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Floresta de La Sabana�;Estación del Transmilenio;Carne;Alimento;Mercancía;Sin dato;si;no;si;si;llena;noche;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Consuelos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;si;si;no;vacia;dia;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Marant�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Azul;si;no;no;no;vacia;dia;si
Hombre;25;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Naranjos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;no;si;vacia;dia;si
Hombre;25;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Laureles;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;no;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santandersito;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;no;si;llena;noche;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa Teresa;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;no;si;si;vacia;dia;si
Mujer;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Babilonia;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;si;no;si;vacia;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Bosque de Pinos;Transmilenio Plus;Cédula;Documentos;Mercancía;Sin dato;no;si;si;no;vacia;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Cedro Salazar;Transmilenio Plus;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;no;no;si;vacia;noche;si
Hombre;45;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Floresta de La Sabana�;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;no;si;si;llena;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balmoral�;Transmilenio Plus;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;no;si;si;llena;noche;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Codito;Transmilenio Plus;Carne;Alimento;Mercancía;Sin dato;no;no;si;si;vacia;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Refugio de San Antonio;Transmilenio Plus;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;no;si;llena;dia;si
Hombre;22;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;no;no;vacia;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Granja Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;no;si;no;llena;dia;si
Hombre;76;Transmilenio;Hurto a persona;Cosquilleo;No;No;San Juan Bosco;Bus de servicio público;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;no;si;si;vacia;dia;si
Hombre;21;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santandersito;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;no;no;llena;noche;si
Hombre;21;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa Teresa;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;si;no;si;llena;noche;si
Mujer;21;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Babilonia;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;no;si;llena;dia;si
Mujer;21;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa M�nica;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;no;no;si;llena;noche;si
Hombre;48;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villa Magdala;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;si;no;no;si;llena;noche;si
Hombre;76;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Sonora;Vía pública;Cédula;Documentos;Mercancía;Sin dato;no;no;no;si;llena;dia;si
Hombre;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Floresta de La Sabana�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;vacia;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Llanurita;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;no;no;llena;noche;si
Hombre;39;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Consuelos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;si;no;llena;noche;si
Mujer;56;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Matur�n;Estación del Transmilenio;Carne;Alimento;Mercancía;Sin dato;no;si;no;si;vacia;noche;si
Mujer;56;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Antonio Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;no;si;llena;noche;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;si;si;vacia;dia;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Naranjos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;no;no;si;si;llena;dia;si
Hombre;25;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Laureles;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;no;no;no;no;vacia;dia;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;No;No;Antonio Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;si;no;vacia;dia;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;No;No;Santa Teresa;Estación del Transmilenio;Llave;Herramientas;Mercancía;Sin dato;no;si;no;no;llena;noche;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;No;No;Torcoroma;Estación del Transmilenio;Carne;Alimento;Mercancía;Sin dato;si;no;si;no;llena;noche;si
Mujer;48;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villa Magdala;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;no;no;llena;dia;si
Mujer;55;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Sonora;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;no;no;si;vacia;dia;si
Mujer;55;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;no;no;no;llena;noche;si
Mujer;55;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Canaima;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;si;no;vacia;noche;si
Mujer;36;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torca;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;no;si;si;llena;noche;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Altos de Serrezuela;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;no;si;llena;noche;si
Mujer;17;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balmoral�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;no;no;no;no;vacia;noche;si
Hombre;62;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;no;no;llena;noche;si
Mujer;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Granja Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;no;no;no;llena;noche;si
Hombre;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Antonio Norte;Hotel- motel y hostal;Cédula;Documentos;Mercancía;Sin dato;no;no;si;no;vacia;dia;si
Hombre;26;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Crist�bal Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;no;si;vacia;noche;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torcoroma;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;no;si;vacia;noche;si
Mujer;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Babilonia;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;no;si;no;si;vacia;noche;si
Hombre;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villas del Mediterr�neo;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;no;no;si;llena;noche;si
Hombre;30;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Cedro Salazar;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;no;no;llena;noche;si
Hombre;26;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;no;no;vacia;noche;si
Hombre;40;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Canaima;Estación del Transmilenio;Celular;Tecnología;Mercancía;Azul;no;no;si;si;llena;noche;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Floresta de La Sabana�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;noche;si
Mujer;51;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Altos de Serrezuela;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;si;no;llena;dia;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Verbenal;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;si;no;si;llena;noche;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;si;no;si;llena;noche;si
Hombre;37;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Consuelos;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;no;si;no;vacia;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Matur�n;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;no;no;no;llena;noche;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Antonio Norte;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;si;si;no;vacia;dia;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Libreta militar;Documentos;Mercancía;Sin dato;no;no;no;no;vacia;noche;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torcoroma;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;vacia;noche;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villas del Mediterr�neo;Estación del Transmilenio;Licencia;Documentos;Mercancía;Sin dato;no;no;no;no;vacia;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Cedro Salazar;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;no;si;no;llena;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Floresta de La Sabana�;Estación del Transmilenio;Carne;Alimento;Mercancía;Sin dato;no;si;si;si;llena;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Altos de Serrezuela;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;no;no;si;llena;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balmoral�;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;no;no;vacia;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Codito;Estación del Transmilenio;Llaveros;Otros elementos;Mercancía;Sin dato;no;si;no;no;vacia;noche;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Estrellita;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;no;si;llena;dia;si
Mujer;55;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Granja Norte;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;no;si;no;llena;noche;si
Mujer;55;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Naranjos;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;no;si;no;no;llena;dia;si
Mujer;21;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santandersito;Estación del Transmilenio;Elementos computador;Tecnología;Mercancía;Negro;si;si;si;no;llena;noche;si
Hombre;26;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Babilonia;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;26;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villa Magdala;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;no;si;llena;dia;si
Hombre;33;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Cedro Salazar;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;si;si;vacia;dia;si
Hombre;25;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;si;no;no;vacia;dia;si
Hombre;66;Transmilenio;Hurto a persona;Cosquilleo;No;No;Buenavista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;no;si;si;si;llena;dia;si
Mujer;20;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Consuelos;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;si;si;no;llena;dia;si
Hombre;74;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Granja Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;si;no;no;llena;dia;si
Hombre;37;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Estrella del Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;no;no;no;vacia;noche;si
Hombre;58;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villa Magdala;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;no;si;vacia;noche;si
Hombre;43;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;no;si;si;no;llena;noche;si
Hombre;40;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Consuelos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;no;no;si;vacia;noche;si
Mujer;41;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Matur�n;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;no;no;no;no;llena;noche;si
Mujer;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santandersito;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;no;no;no;llena;dia;si
Mujer;39;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Estrella del Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;no;no;llena;dia;si
Mujer;40;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Naranjos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;no;si;llena;dia;si
Mujer;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Crist�bal Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Tober�n;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;no;no;no;llena;noche;si
Hombre;28;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Los Cedros;Bus de servicio público;Celular;Tecnología;Mercancía;Plata;no;si;si;no;llena;noche;si
Hombre;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Canaima;Estación del Transmilenio;Celular;Tecnología;Mercancía;Azul;si;si;si;no;vacia;noche;si
Mujer;27;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Altos de Serrezuela;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;no;no;no;no;vacia;noche;si
Hombre;23;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balmoral�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;vacia;noche;si
